split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,304,0.005086889934105291,0.003944225489483243,304,0.011734016093114724,0.008972691124569276,-0.006647126159009433,-0.005028465635086033,0.5664834704726396,0.5604188938719786
test,delta_yF,304,0.007717290112696319,0.005965614740393664,304,0.007717290123300775,0.005965614430973993,-1.060445568162871e-11,3.0941967130854175e-10,1.3741164984339169e-09,-5.186719237200576e-08
test,delta_yN,304,0.006061999772186995,0.004870961126136153,304,0.019716893794331926,0.016852426434572982,-0.01365489402214493,-0.011981465308436828,0.6925479319704173,0.7109638101642556
test,delta_yT,304,0.00815473871134092,0.006843466507761102,304,0.027009350702662187,0.019984998250086056,-0.01885461199132127,-0.013141531742324955,0.6980772029244989,0.6575698220172908
test,sigma_F,304,0.0010935786907689594,0.0009243133919019448,304,0.0010935786306784498,0.0009243133919019448,6.009050960813223e-11,0.0,-5.49485038591623e-08,0.0
test,sigma_N,304,0.0010539641577747257,0.0008765335047715588,304,0.0010539641431483594,0.0008765335047715588,1.462636630734926e-11,0.0,-1.3877479990598128e-08,0.0
test,sigma_T,304,0.0010750163446839088,0.0008869375053204988,304,0.0010750162704590838,0.0008869375053204988,7.422482507096761e-11,0.0,-6.904530388109386e-08,0.0
test,yF,304,0.005325751020183861,0.0041272641208611035,304,0.007717290773420658,0.005965614887444596,-0.0023915397532367974,-0.0018383507665834927,0.3098936950093377,0.3081578012104902
test,yN,304,0.006658719982119791,0.005828534988196273,304,0.019716893020530053,0.016852425411343575,-0.01305817303841026,-0.011023890423147302,0.6622835060683012,0.654142662202616
test,yT,304,0.008640950615192138,0.005174403520006882,304,0.020505867379501032,0.01244535630470828,-0.011864916764308894,-0.007270952784701398,0.5786108212213358,0.5842301824617652
train,all,304,0.005217705053024032,0.004073149889533283,304,0.011801693903807907,0.008926079136030805,-0.0065839888507838755,-0.004852929246497522,0.5578850717912198,0.5436798366382727
train,delta_yF,304,0.006687038607250176,0.005245995560758992,304,0.006687038843796738,0.0052459950889705825,-2.3654656271937524e-10,4.717884095548075e-10,3.537388794126846e-08,-8.993306351862905e-08
train,delta_yN,304,0.00586192887335679,0.004595683642516011,304,0.019570795997682935,0.01623716844417351,-0.013708867124326144,-0.0116414848016575,0.7004757050223809,0.7169652049668112
train,delta_yT,304,0.009482892314271997,0.00780042662824455,304,0.027453352075994607,0.019907911455160694,-0.01797045976172261,-0.012107484826916145,0.6545816231102831,0.6081745367506918
train,sigma_F,304,0.001237030119388952,0.0010968225664998357,304,0.0012370301211739694,0.0010968224929743691,-1.7850174463540647e-12,7.3525466531138e-11,1.442986242453048e-09,-6.703497329978277e-08
train,sigma_N,304,0.0010297892230842415,0.0008741618918353005,304,0.0010297891858472566,0.0008741618918353005,3.723698497985761e-11,0.0,-3.6159813573125624e-08,0.0
train,sigma_T,304,0.0012089980355558545,0.0009797325504845695,304,0.0012089979981915364,0.000979732599501547,3.7364318019803e-11,-4.901697754286505e-11,-3.0905194281292376e-08,5.003097535776919e-08
train,yF,304,0.005044863560566786,0.0040068309754133224,304,0.006687039336805631,0.00524599580584388,-0.001642175776238845,-0.0012391648304305577,0.24557591088185599,0.23621155568789545
train,yN,304,0.006861472580802414,0.005767875301994775,304,0.01957079511982565,0.016237166759214904,-0.012709322539023238,-0.010469291457220128,0.6494024622509287,0.6447732915767835
train,yT,304,0.009545332162939072,0.006290819888052188,304,0.022770406454952832,0.014509757686602441,-0.01322507429201376,-0.008218937798550253,0.5808009759587384,0.5664421126852582
validation,all,304,0.005353091192057278,0.0040853341131836,304,0.012100827397370147,0.009274892421842318,-0.006747736205312869,-0.005189558308658718,0.5576260187612744,0.5595276012514536
validation,delta_yF,304,0.007265250725317448,0.005699684304234229,304,0.007265250666062445,0.005699684206200273,5.925500281417362e-11,9.803395595309183e-11,-8.15594747349414e-09,-1.719989255658196e-08
validation,delta_yN,304,0.004998240099522412,0.0038176020607352257,304,0.01971844147655453,0.016935210956848766,-0.01472020137703212,-0.01311760889611354,0.7465195154766475,0.7745760551514506
validation,delta_yT,304,0.010384243588906834,0.008498952969124443,304,0.02897110040406389,0.021531696124982676,-0.018586856815157055,-0.013032743155858234,0.6415654412819544,0.6052817706607272
validation,sigma_F,304,0.0012750756442849358,0.0010289314055913373,304,0.0012750755724803065,0.0010289314055913373,7.180462929974596e-11,0.0,-5.631401843897765e-08,0.0
validation,sigma_N,304,0.0012129628027511517,0.0010648023974346487,304,0.001212962776623745,0.00106480237292616,2.6127406661802244e-11,2.4508488771432524e-11,-2.1540155366125332e-08,-2.3016936658472395e-08
validation,sigma_T,304,0.0012885194738466524,0.0010603840315812512,304,0.0012885194266518182,0.00106038405608974,4.719483419519943e-11,-2.4508488771432524e-11,-3.6627180948163035e-08,2.3112841645139162e-08
validation,yF,304,0.005429717643425091,0.004315054681348174,304,0.00726525143031768,0.005699684353251206,-0.0018355337868925896,-0.0013846296719030324,0.2526455972649427,0.24293093899370302
validation,yN,304,0.006976971361001561,0.005624444076889439,304,0.019718441943630625,0.01693521155730674,-0.012741470582629064,-0.011310767480417303,0.6461702511310619,0.667884628552942
validation,yT,304,0.009346839389459412,0.005658151091713654,304,0.02219240287994627,0.013518426763383965,-0.012845563490486857,-0.007860275671670311,0.5788270679825527,0.581448996192417
