split,target,rows,rmse,mae
train,all,304,0.011801693903807907,0.008926079136030805
train,yN,304,0.01957079511982565,0.016237166759214904
train,yF,304,0.006687039336805631,0.00524599580584388
train,yT,304,0.022770406454952832,0.014509757686602441
train,sigma_N,304,0.0010297891858472566,0.0008741618918353005
train,sigma_F,304,0.0012370301211739694,0.0010968224929743691
train,sigma_T,304,0.0012089979981915364,0.000979732599501547
train,delta_yN,304,0.019570795997682935,0.01623716844417351
train,delta_yF,304,0.006687038843796738,0.0052459950889705825
train,delta_yT,304,0.027453352075994607,0.019907911455160694
validation,all,304,0.012100827397370147,0.009274892421842318
validation,yN,304,0.019718441943630625,0.01693521155730674
validation,yF,304,0.00726525143031768,0.005699684353251206
validation,yT,304,0.02219240287994627,0.013518426763383965
validation,sigma_N,304,0.001212962776623745,0.00106480237292616
validation,sigma_F,304,0.0012750755724803065,0.0010289314055913373
validation,sigma_T,304,0.0012885194266518182,0.00106038405608974
validation,delta_yN,304,0.01971844147655453,0.016935210956848766
validation,delta_yF,304,0.007265250666062445,0.005699684206200273
validation,delta_yT,304,0.02897110040406389,0.021531696124982676
test,all,304,0.011734016093114724,0.008972691124569276
test,yN,304,0.019716893020530053,0.016852425411343575
test,yF,304,0.007717290773420658,0.005965614887444596
test,yT,304,0.020505867379501032,0.01244535630470828
test,sigma_N,304,0.0010539641431483594,0.0008765335047715588
test,sigma_F,304,0.0010935786306784498,0.0009243133919019448
test,sigma_T,304,0.0010750162704590838,0.0008869375053204988
test,delta_yN,304,0.019716893794331926,0.016852426434572982
test,delta_yF,304,0.007717290123300775,0.005965614430973993
test,delta_yT,304,0.027009350702662187,0.019984998250086056
