epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,0.023380649766247524,-0.010080109350383282,0.010210198317961312,0.007832047450546806,0.8440978710138405,balanced,0.23262191899993923,-0.010080109350383282,0.8440978710138405
2,-0.01988833476054041,-0.05741642023387708,0.008927033509719481,0.006691911952210622,0.7296146143179488,balanced,0.046179657998436596,-0.05741642023387708,0.7296146143179488
3,-0.06984137586857143,-0.12203954395494963,0.007706548543175045,0.005763054147297352,0.6291110218034504,balanced,0.045434062001731945,-0.12203954395494963,0.6291110218034504
4,-0.1406148185855464,-0.2197959940684469,0.007187107533781624,0.005669125625373502,0.602584394014033,balanced,0.04529589999947348,-0.2197959940684469,0.602584394014033
5,-0.2493933800019716,-0.3755950535598554,0.006670797415962477,0.005194264886170974,0.5556514653729862,balanced,0.04595962999883341,-0.3755950535598554,0.5556514653729862
6,-0.4241401302187066,-0.6301922829527604,0.005936988977288225,0.0045753605091911655,0.49196637159512635,balanced,0.04562945300131105,-0.6301922829527604,0.49196637159512635
7,-0.7106442639702245,-1.048008209780643,0.005353091192057278,0.0040853341131836,0.44142318999363594,balanced,0.045460642999387346,-1.048008209780643,0.44142318999363594
8,-1.1769972098501105,-1.695251753455714,0.00545612247366229,0.0042204030854790875,0.4529618205326333,balanced,0.0447148669991293,-1.048008209780643,0.44142318999363594
9,-1.8769384685315584,-2.565763523704127,0.006368672161029461,0.004742419872737941,0.5188093000624643,balanced,0.04478389900032198,-1.048008209780643,0.44142318999363594
10,-2.7191433404621326,-3.3931534917731034,0.007364526670737283,0.005851175023340865,0.6197293595742663,balanced,0.044755563998478465,-1.048008209780643,0.44142318999363594
