target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,384,0.006411497946828604,0.008320012988206693,balanced,1.0
delta_yF,0.1,384,0.011616887835164864,0.01306180103250635,balanced,1.6909045675699255
delta_yF,0.2,384,0.0174708291888237,0.018474696614065214,balanced,2.4727172725007867
delta_yF,0.35,384,0.026272041723132133,0.02696918520748018,balanced,3.66956421230064
delta_yF,0.5,384,0.03507325301567713,0.0356275167311709,balanced,4.876257369835248
delta_yF,0.65,384,0.043874463687340416,0.04435384015358181,balanced,6.087036524177587
delta_yF,0.8,384,0.052675678084294,0.05311465752895006,balanced,7.299888919703941
delta_yF,0.9,384,0.058543151865402855,0.05896677447769019,balanced,8.109152423230011
delta_yF,1.0,384,0.06441063433885574,0.06482522414499471,balanced,8.91879717606263
delta_yN,0.0,384,0.018888423219323158,0.02235749298534391,balanced,1.1215361839483777
delta_yN,0.1,384,0.018415125086903572,0.021380367816666315,balanced,1.0826433088954261
delta_yN,0.2,384,0.018032029892007508,0.020569108240682334,balanced,1.0506358788973589
delta_yN,0.35,384,0.017605481048425037,0.019706925201492993,balanced,1.016061529134161
delta_yN,0.5,384,0.017395955199996628,0.019319027281954972,balanced,1.0
delta_yN,0.65,384,0.017527523140112557,0.019433832606408435,balanced,1.0067528688840195
delta_yN,0.8,384,0.017904169236620266,0.020042706707620116,balanced,1.0333369538267365
delta_yN,0.9,384,0.01835324428975582,0.02070304211563937,balanced,1.0633346959712697
delta_yN,1.0,384,0.01898240173856417,0.02154593426550529,balanced,1.1032332140517769
delta_yT,0.0,384,0.030041211595137913,0.04015627042173665,balanced,1.421421245659334
delta_yT,0.1,384,0.023875682925184567,0.03295831208661914,balanced,1.1485317802180708
delta_yT,0.2,384,0.021563888217012085,0.028067608577824178,balanced,1.006646619145576
delta_yT,0.35,384,0.023694856092333794,0.027699393933742437,balanced,1.0494105667279556
delta_yT,0.5,384,0.030368542298674583,0.03548673644593695,balanced,1.3447215730885635
delta_yT,0.65,384,0.04143014426032702,0.04758094638295164,balanced,1.8195177905588573
delta_yT,0.8,384,0.05503738795717557,0.06149123373314972,balanced,2.3861214794686005
delta_yT,0.9,384,0.06496232002973557,0.07125604966864078,balanced,2.7925140879903214
delta_yT,1.0,384,0.07515344023704529,0.08124958013004242,balanced,3.2092072890094454
sigma_F,0.0,384,0.0011195427699324985,0.0013983787535490624,balanced,1.0
sigma_F,0.1,384,0.008394206253190834,0.008532513254310176,balanced,6.799803137405668
sigma_F,0.2,384,0.016123527971406777,0.016272636196384884,balanced,13.019336957249049
sigma_F,0.35,384,0.027717510238289833,0.02792742238996625,balanced,22.364585223615386
sigma_F,0.5,384,0.03931149343649546,0.03959372479075553,balanced,31.71395160549895
sigma_F,0.65,384,0.05090547477205594,0.05126367944291582,balanced,41.064623043255885
sigma_F,0.8,384,0.06249946107467015,0.0629352591611528,balanced,50.41587775297419
sigma_F,0.9,384,0.07022878030935922,0.07071681140449947,balanced,56.65022379700463
sigma_F,1.0,384,0.07795810202757517,0.0784986343156161,balanced,62.884667729339384
sigma_N,0.0,384,0.0011585729274277885,0.0013302598325141595,balanced,1.0
sigma_N,0.1,384,0.001406099065206945,0.0017470886608389551,balanced,1.2634956782102464
sigma_N,0.2,384,0.0021743997931480408,0.0025680032874462987,balanced,1.9036219378381931
sigma_N,0.35,384,0.0034979465417563915,0.004018067269081887,balanced,3.0198492891013977
sigma_N,0.5,384,0.00485086627304554,0.005547897856765456,balanced,4.178734592262827
sigma_N,0.65,384,0.006208323563138643,0.007106163539329874,balanced,5.350265946143786
sigma_N,0.8,384,0.0075732061328987275,0.008677560252036384,balanced,6.5299373071671365
sigma_N,0.9,384,0.008484480281670887,0.009729312399644294,balanced,7.3185300221818625
sigma_N,1.0,384,0.009396152260402838,0.010783255843360312,balanced,8.108118061467948
sigma_T,0.0,384,0.001153765459700177,0.0014131229616514533,balanced,1.0
sigma_T,0.1,384,0.009132976333300272,0.009337206997608625,balanced,7.261648821804339
sigma_T,0.2,384,0.017881573488314945,0.018159468238147052,balanced,14.174520356747335
sigma_T,0.35,384,0.031004467979073524,0.0314445335946256,balanced,24.562110560286136
sigma_T,0.5,384,0.044127364953358963,0.044742518151279706,balanced,34.95427299226174
sigma_T,0.65,384,0.057250258823235825,0.05804453922319612,balanced,45.34786230396271
sigma_T,0.8,384,0.07037316262722015,0.07134834855206121,balanced,55.74208865299697
sigma_T,0.9,384,0.07912175357341766,0.08021809974677324,balanced,62.67176068971908
sigma_T,1.0,384,0.0878703494866689,0.08908814429126034,balanced,69.60153867383286
yF,0.0,384,0.006411498722930749,0.008320015065174265,balanced,1.0
yF,0.1,384,0.01653591419259707,0.017606920673797564,balanced,2.34765768859815
yF,0.2,384,0.027335948000351586,0.028023541227997203,balanced,3.8158947968275427
yF,0.35,384,0.043536001195510224,0.0440232160374245,balanced,6.040771283833168
yF,0.5,384,0.0597360556324323,0.06015372237452166,balanced,8.273510325055657
yF,0.65,384,0.0759361038605372,0.07633216307594058,balanced,10.509129547800969
yF,0.8,384,0.09213616202274957,0.09253340337090585,balanced,12.74611971065693
yF,0.9,384,0.10293619583050409,0.10334159359087017,balanced,14.23788860715217
yF,1.0,384,0.11373622715473175,0.1141537317252689,balanced,15.729894564013472
yN,0.0,384,0.018888423219323158,0.02235749298534391,balanced,2.1802126775493713
yN,0.1,384,0.017792443434397377,0.0210303871610649,balanced,2.0522702943617377
yN,0.2,384,0.016696954146027565,0.01971741579747669,balanced,1.9250377397482736
yN,0.35,384,0.015075891899565855,0.0177813000915926,balanced,1.7370901529420693
yN,0.5,384,0.01345871699353059,0.015898173013294502,balanced,1.5519232340202798
yN,0.65,384,0.011880578783651192,0.01408929571924456,balanced,1.3726136848508117
yN,0.8,384,0.010394705769916374,0.012387238165023977,balanced,1.2038386953824154
yN,0.9,384,0.009449050761759281,0.011335787839622384,balanced,1.0979572674211568
yN,1.0,384,0.008564463816583157,0.01037478405046117,balanced,1.0
yT,0.0,384,0.023432830348610878,0.03623348304517196,balanced,1.6476256463514876
yT,0.1,384,0.01869846445818742,0.030104176790517315,balanced,1.3428015445602228
yT,0.2,384,0.015705347061157227,0.02505675722348752,balanced,1.1224715928209132
yT,0.35,384,0.014753957899908224,0.021226273850519575,balanced,1.0
yT,0.5,384,0.016736569814383984,0.02369981225053493,balanced,1.1254551134390753
yT,0.65,384,0.021746438617507614,0.031003555515131488,balanced,1.467280492032049
yT,0.8,384,0.02910151332616806,0.04061001031528972,balanced,1.9428250600503896
yT,0.9,384,0.03486914125581582,0.04762391147165835,balanced,2.303502860648438
yT,1.0,384,0.04093470548590024,0.05490978583283552,balanced,2.680684010116395
