split,target,rows,rmse,mae
train,all,384,0.015476558764106573,0.011630016045846452
train,yN,384,0.02338687478637386,0.01906480729424705
train,yF,384,0.007682038497670362,0.0059385224400709076
train,yT,384,0.03540021620598674,0.023589689362173278
train,sigma_N,384,0.0011293728116968467,0.0009511438741659125
train,sigma_F,384,0.0013566544164462882,0.0011934126960113645
train,sigma_T,384,0.0013259114546239207,0.0010660114348866045
train,delta_yN,384,0.023386875132743075,0.019064808708208147
train,delta_yF,384,0.0076820375554851805,0.005938521434776097
train,delta_yT,384,0.03793904801593288,0.02786322716807869
validation,all,384,0.015765169910348324,0.01194508518658579
validation,yN,384,0.02235749308647008,0.018888423840204876
validation,yF,384,0.008320015034030927,0.006411498528905213
validation,yT,384,0.03623348230300875,0.0234328304650262
validation,sigma_N,384,0.001330259802928013,0.0011585729274277885
validation,sigma_F,384,0.001398378743608324,0.0011195427893350522
validation,sigma_T,384,0.0014131229654168035,0.0011537654597001772
validation,delta_yN,384,0.022357493002082097,0.018888423570994444
validation,delta_yF,384,0.008320013052943918,0.0064114976450279455
validation,delta_yT,384,0.040156271202645984,0.030041211452650412
test,all,384,0.01524957392546342,0.011596271886345577
test,yN,384,0.022417877445341006,0.018875929022518296
test,yF,384,0.009090031432463938,0.006863466852034132
test,yT,384,0.03361788248997818,0.02199714502785355
test,sigma_N,384,0.0011558853700786955,0.0009537241809690992
test,sigma_F,384,0.001199330774404454,0.0010057118876526754
test,sigma_T,384,0.0011789733173908105,0.0009650444456686577
test,delta_yN,384,0.022417878604056325,0.01887593033552548
test,delta_yF,384,0.009090030524070468,0.006863466480960294
test,delta_yT,384,0.0370782753713869,0.02796602874392799
